Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-04 00:00:00+09:00,4205.911159983633,4283.01953125,3967.5761942512277,4283.01953125,74195000,0.0,0.0
2000-01-05 00:00:00+09:00,4065.7135469170025,4247.969671433972,3869.4377205141127,3911.496826171875,74680000,0.0,0.0
2000-01-06 00:00:00+09:00,4030.666191128225,4051.695753864546,3911.498668955738,3939.5380859375,54390000,0.0,0.0
2000-01-07 00:00:00+09:00,3897.477711811823,3974.5860838081003,3757.280671818592,3883.4580078125,40305000,0.0,0.0
2000-01-10 00:00:00+09:00,3925.5182720428948,4044.6857910156255,3911.4985639284555,4044.685791015625,46880000,0.0,0.0
2000-01-11 00:00:00+09:00,4079.7350613017225,4276.0109749038675,4044.6857910156255,4044.685791015625,59745000,0.0,0.0
2000-01-12 00:00:00+09:00,3932.529278094952,4023.6574075338726,3925.519421984266,4009.6376953125,29220000,0.0,0.0
2000-01-13 00:00:00+09:00,3925.51735579028,4023.655289685037,3897.477946106064,4002.625732421875,41190000,0.0,0.0
2000-01-14 00:00:00+09:00,4009.635760613208,4121.793404266724,3981.596349699829,4086.744140625,49375000,0.0,0.0
2000-01-17 00:00:00+09:00,4205.912205430328,4332.089571593238,4149.8333760245905,4276.0107421875,63505000,0.0,0.0
2000-01-18 00:00:00+09:00,4318.069864241804,4318.069864241804,4191.892498078893,4276.0107421875,45260000,0.0,0.0
2000-01-19 00:00:00+09:00,4205.911971738675,4233.9513848835995,4177.87255859375,4177.87255859375,40205000,0.0,0.0
2000-01-20 00:00:00+09:00,4107.773819070778,4233.951171875,4079.7344073365066,4233.951171875,37315000,0.0,0.0
2000-01-21 00:00:00+09:00,4170.861932663691,4191.891488626701,4121.79296875,4121.79296875,32535000,0.0,0.0
2000-01-24 00:00:00+09:00,4065.7147409539475,4135.813270970395,3995.6162109375,3995.6162109375,34355000,0.0,0.0
2000-01-25 00:00:00+09:00,3869.439427992877,3953.5576764275047,3813.360595703125,3813.360595703125,44250000,0.0,0.0
2000-01-26 00:00:00+09:00,3855.417649763344,3869.437350307938,3792.328997312671,3841.39794921875,29285000,0.0,0.0
2000-01-27 00:00:00+09:00,3841.398340197577,3939.536253998245,3806.349085268767,3869.437744140625,27900000,0.0,0.0
